"October 1 - 31 9,923 38,687",,$ 134.66,$ 135.65,"48,610 $ 45,736"
November 1 - 30,"9,197 28,198 $ 134.53 $ 135.16",,,
December 1 - 31,"7,502 24,760 $ 135.76",,$ 136.37,"32,262 $ 36,347"
"Total 26,622 91,645",,,,
