Unrealized gain (loss) on fair value option debt securities $ (122),,,$ (557),,$ 386
Gross realized gain on debt securities 432 103 182,,,,,
Gross realized loss on debt securities (329),,,"(1,588)",,"(1,833)"
(Increase) decrease in allowance for credit losses (91) (22) 50,,,,,
"Total gain (loss) on debt securities recognized in other income
(expense), net",$ (110),,"$ (2,064)","$ (1,215)",
