"Year ended December 31, 2021 $ 1,344 $ 2,092 $ (2,047) $ 1,389",,,,,,
"Year ended December 31, 2022 $ 1,389 $ 2,125",,,,"$ (2,301)",,"$ 1,213"
"Year ended December 31, 2023","$ 1,213","$ 3,115 $ (2,737) $ 1,591",,,,
