"European Commission fines(1) $ 9,106 $ 9,525"
"Accrued purchases of property and equipment 3,019 4,679"
"Accrued customer liabilities 3,619 4,140"
"Current operating lease liabilities 2,477 2,791"
"Income taxes payable, net 1,632 2,748"
"Other accrued expenses and current liabilities 18,013 22,285"
"Accrued expenses and other current liabilities $ 37,866 $ 46,168"
