Beginning gross unrecognized tax benefits,"$ 3,837 $ 5,158 $ 7,055"
Increases related to prior year tax positions 529 253 740,
Decreases related to prior year tax positions,(263) (437) (682)
Decreases related to settlement with tax authorities (329) (140) (21),
Increases related to current year tax positions,"1,384 2,221 2,346"
"Ending gross unrecognized tax benefits $ 5,158 $ 7,055 $ 9,438",
