,"Year Ended December 31, 2022",,,,,,
,Shares,Amount,,,Shares,,Amount
Class A share repurchases,61,,"$ 6,719",,78,,"$ 9,316"
Class C share repurchases,469,,"52,577",,450,,"52,868"
Total share repurchases(1),530,,"$ 59,296",,528,,"$ 62,184"
